   category    |       subcategory        |                       name                       |          brand           | unit_type  | unit_size | case_size 
---------------+--------------------------+--------------------------------------------------+--------------------------+------------+-----------+-----------
 Beer          | Cider                    | Bulmers Original Cider 330ml Can                 | Bulmers                  | can        |       330 |        24
 Beer          | Cider                    | Bulmers Original Cider 500ml Bottle              | Bulmers                  | bottle     |       500 |        12
 Beer          | Cider                    | Kopparberg Mixed Berries 330ml Bottle            | Kopparberg               | bottle     |       330 |        24
 Beer          | Cider                    | Kopparberg Mixed Berries 500ml Bottle            | Kopparberg               | bottle     |       500 |        12
 Beer          | Cider                    | Magners Original Cider 330ml Can                 | Magners                  | can        |       330 |        24
 Beer          | Cider                    | Magners Original Cider 500ml Bottle              | Magners                  | bottle     |       500 |        12
 Beer          | Cider                    | Strongbow Dark Fruits 330ml Can                  | Strongbow                | can        |       330 |        24
 Beer          | Cider                    | Strongbow Dark Fruits 500ml Bottle               | Strongbow                | bottle     |       500 |        12
 Beer          | IPA                      | BrewDog Punk IPA 330ml Can                       | BrewDog                  | can        |       330 |        24
 Beer          | IPA                      | BrewDog Punk IPA 500ml Bottle                    | BrewDog                  | bottle     |       500 |        12
 Beer          | IPA                      | Brooklyn Brewery IPA 330ml Can                   | Brooklyn Brewery         | can        |       330 |        24
 Beer          | IPA                      | Brooklyn Brewery IPA 500ml Bottle                | Brooklyn Brewery         | bottle     |       500 |        12
 Beer          | IPA                      | Fullers London Pride 330ml Bottle                | Fullers                  | bottle     |       330 |        24
 Beer          | IPA                      | Fullers London Pride 500ml Bottle                | Fullers                  | bottle     |       500 |        12
 Beer          | IPA                      | Timothy Taylor Landlord 330ml Bottle             | Timothy Taylor           | bottle     |       330 |        24
 Beer          | IPA                      | Timothy Taylor Landlord 500ml Bottle             | Timothy Taylor           | bottle     |       500 |        12
 Beer          | Lager                    | Budweiser 330ml Can                              | Budweiser                | can        |       330 |        24
 Beer          | Lager                    | Budweiser 500ml Bottle                           | Budweiser                | bottle     |       500 |        12
 Beer          | Lager                    | Carlsberg 330ml Can                              | Carlsberg                | can        |       330 |        24
 Beer          | Lager                    | Carlsberg 500ml Bottle                           | Carlsberg                | bottle     |       500 |        12
 Beer          | Lager                    | Corona Extra 330ml Bottle                        | Corona                   | bottle     |       330 |        24
 Beer          | Lager                    | Corona Extra 500ml Bottle                        | Corona                   | bottle     |       500 |        12
 Beer          | Lager                    | Heineken 330ml Can                               | Heineken                 | can        |       330 |        24
 Beer          | Lager                    | Heineken 500ml Bottle                            | Heineken                 | bottle     |       500 |        12
 Beer          | Lager                    | Heineken Draught 20 Litre Keg                    | Heineken                 | keg        |     20000 |         1
 Beer          | Lager                    | San Miguel 330ml Can                             | San Miguel               | can        |       330 |        24
 Beer          | Lager                    | San Miguel 500ml Bottle                          | San Miguel               | bottle     |       500 |        12
 Beer          | Lager                    | Stella Artois 330ml Can                          | Stella Artois            | can        |       330 |        24
 Beer          | Lager                    | Stella Artois 500ml Bottle                       | Stella Artois            | bottle     |       500 |        12
 Beer          | Lager                    | Stella Artois Draught 20 Litre Keg               | Stella Artois            | keg        |     20000 |         1
 Beer          | Pale Ale                 | Fosters Lager 330ml Can                          | Fosters                  | can        |       330 |        24
 Beer          | Pale Ale                 | Fosters Lager 500ml Bottle                       | Fosters                  | bottle     |       500 |        12
 Beer          | Pale Ale                 | Kronenbourg 1664 330ml Can                       | Kronenbourg              | can        |       330 |        24
 Beer          | Pale Ale                 | Kronenbourg 1664 500ml Bottle                    | Kronenbourg              | bottle     |       500 |        12
 Beer          | Stout                    | Guinness Draught 20 Litre Keg                    | Guinness                 | keg        |     20000 |         1
 Beer          | Stout                    | Guinness Draught 330ml Can                       | Guinness                 | can        |       330 |        24
 Beer          | Stout                    | Guinness Draught 500ml Bottle                    | Guinness                 | bottle     |       500 |        12
 Beer          | Stout                    | Murphys Irish Stout 330ml Can                    | Murphys                  | can        |       330 |        24
 Beer          | Stout                    | Murphys Irish Stout 500ml Bottle                 | Murphys                  | bottle     |       500 |        12
 Beers & Ales  | Cask Ale                 | Bass Pale Ale                                    | Bass                     | bottle     |       500 |         8
 Beers & Ales  | Cask Ale                 | Doom Bar                                         | Sharp's                  | cask       |     72000 |         1
 Beers & Ales  | Cask Ale                 | Doom Bar                                         | Sharp's                  | bottle     |       500 |         8
 Beers & Ales  | Cask Ale                 | Greene King Abbot Ale                            | Greene King              | cask       |     72000 |         1
 Beers & Ales  | Cask Ale                 | Greene King IPA                                  | Greene King              | cask       |     72000 |         1
 Beers & Ales  | Cask Ale                 | Guinness Draught                                 | Guinness                 | keg        |     50000 |         1
 Beers & Ales  | Cask Ale                 | Guinness Draught                                 | Guinness                 | can        |       440 |        24
 Beers & Ales  | Cask Ale                 | John Smith's Extra Smooth                        | John Smith's             | can        |       440 |        24
 Beers & Ales  | Cask Ale                 | John Smith's Extra Smooth                        | John Smith's             | keg        |     50000 |         1
 Beers & Ales  | Cask Ale                 | London Pride                                     | Fuller's                 | cask       |     72000 |         1
 Beers & Ales  | Cask Ale                 | Newcastle Brown Ale                              | Newcastle                | bottle     |       550 |         8
 Beers & Ales  | Cask Ale                 | Old Speckled Hen                                 | Morland                  | bottle     |       500 |         8
 Beers & Ales  | Cask Ale                 | Pedigree                                         | Marston's                | cask       |     72000 |         1
 Beers & Ales  | Cask Ale                 | Timothy Taylor Landlord                          | Timothy Taylor           | cask       |     72000 |         1
 Beers & Ales  | Craft Beer               | Beavertown Gamma Ray                             | Beavertown               | can        |       330 |        24
 Beers & Ales  | Craft Beer               | Beavertown Neck Oil                              | Beavertown               | can        |       330 |        24
 Beers & Ales  | Craft Beer               | BrewDog Dead Pony Club                           | BrewDog                  | can        |       330 |        24
 Beers & Ales  | Craft Beer               | BrewDog Elvis Juice                              | BrewDog                  | can        |       330 |        24
 Beers & Ales  | Craft Beer               | BrewDog Punk IPA                                 | BrewDog                  | can        |       330 |        24
 Beers & Ales  | Craft Beer               | Camden Hells Lager                               | Camden Town              | can        |       330 |        24
 Beers & Ales  | Craft Beer               | Camden Pale Ale                                  | Camden Town              | can        |       330 |        24
 Beers & Ales  | Craft Beer               | Cloudwater DIPA                                  | Cloudwater               | can        |       440 |        12
 Beers & Ales  | Craft Beer               | Meantime London Lager                            | Meantime                 | bottle     |       330 |        24
 Beers & Ales  | Craft Beer               | Meantime London Pale Ale                         | Meantime                 | bottle     |       330 |        24
 Beers & Ales  | Craft Beer               | Northern Monk Faith                              | Northern Monk            | can        |       440 |        12
 Beers & Ales  | Craft Beer               | Thornbridge Jaipur IPA                           | Thornbridge              | bottle     |       330 |        12
 Beers & Ales  | Craft Beer               | Tiny Rebel Cwtch                                 | Tiny Rebel               | can        |       330 |        24
 Beers & Ales  | Craft Beer               | Vocation Bread & Butter                          | Vocation                 | can        |       440 |        12
 Beers & Ales  | Lager                    | Amstel                                           | Amstel                   | can        |       440 |        24
 Beers & Ales  | Lager                    | Asahi Super Dry                                  | Asahi                    | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Asahi Super Dry                                  | Asahi                    | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Becks                                            | Beck's                   | bottle     |       275 |        24
